result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type
OUT,98.3,34,35.120256,329,fly_ball
SINGLE,86.4,17,8.206985438,262,line_drive
OUT,80.3,-31,-38.78516216,5,ground_ball
SINGLE,97.3,18,-8.181966472,279,line_drive
OUT,55.7,46,-39.21466645,158,popup
SINGLE,41.1,-42,33.10136794,4,ground_ball
OUT,68.9,-2,17.80586543,35,ground_ball
OUT,70.7,34,-33.76870782,252,fly_ball
OUT,85.2,-6,-41.3814975,15,ground_ball
SINGLE,77.1,4,-39.50913903,69,line_drive
OUT,73.3,37,-10.41764453,271,fly_ball
OUT,90,58,-25.70555256,178,fly_ball
OUT,103.6,50,-22.52067281,301,fly_ball
OUT,50.6,-68,-12.64994025,1,ground_ball
OUT,76.8,51,33.17621781,183,fly_ball
OUT,91.6,-1,-16.70614831,49,ground_ball
OUT,106.9,1,-11.32078765,57,ground_ball
SINGLE,45.4,-63,-60.45323138,1,ground_ball
OUT,105.4,30,-13.66502998,369,fly_ball
OUT,100.5,33,-1.061769774,339,fly_ball
OUT,85.2,21,31.06741271,264,line_drive
SINGLE,99.6,13,-7.824862125,252,line_drive
OUT,89.2,51,-7.869978151,221,fly_ball
SINGLE,76.4,-17,47.97590157,6,ground_ball
OUT,101.8,29,0.34593838,370,fly_ball
OUT,103.3,7,37.63628725,168,line_drive
OUT,57.7,86,-13.23503733,15,popup
OUT,66.3,-11,33.42481118,14,ground_ball
OUT,92.9,-11,-23.88444028,14,ground_ball
OUT,89,58,6.273468703,170,popup
OUT,97,27,2.156168055,377,fly_ball
SINGLE,101.4,7,45.03810826,116,ground_ball
OUT,97.5,-25,-24.69278952,4,ground_ball
OUT,100.4,-10,47.79338947,11,ground_ball
OUT,73.9,-9,-27.06971598,11,ground_ball
OUT,85.8,41,47.70604301,263,fly_ball
OUT,56.6,45,3.774393664,155,popup
OUT,103.3,18,30.49599172,311,line_drive
OUT,90.3,-39,41.01203097,2,ground_ball
OUT,71,-1,-33.35185269,28,ground_ball
OUT,107.3,-7,7.50979566,11,ground_ball
OUT,88.5,79,-79.57452308,32,popup
OUT,101.8,-12,-32.10541997,13,ground_ball
SINGLE,110.8,14,31.46535217,247,line_drive
SINGLE,89,-15,3.685555146,10,ground_ball
OUT,94.3,-5,-38.63512421,19,ground_ball
HR,100.7,27,30.39955019,396,fly_ball
OUT,57.4,36,7.746128201,182,line_drive
OUT,105.5,6,32.4347832,175,line_drive
OUT,95.2,29,29.76719387,362,fly_ball
SINGLE,75.4,29,-16.97534646,272,line_drive
SINGLE,99.1,15,-1.60111437,252,line_drive
OUT,87,77,-14.08465268,61,popup
OUT,98.5,-5,26.69601789,17,ground_ball
OUT,85,41,-33.27084376,313,fly_ball
OUT,100.4,43,1.270509996,376,fly_ball
SINGLE,89.1,14,29.39911523,222,line_drive
OUT,86.1,-31,-15.33447172,5,ground_ball
DOUBLE,90.9,24,36.4089543,316,line_drive
OUT,85.7,45,-6.227643936,286,fly_ball
OUT,75.4,-34,14.9566442,3,ground_ball
OUT,98.3,-7,24.41428503,15,ground_ball
SINGLE,85.4,17,36.14658977,234,line_drive
OUT,100.6,40,-6.036236046,385,fly_ball
OUT,97,59,-33.40486285,259,fly_ball
OUT,85.6,55,13.62211276,260,fly_ball
SINGLE,40.9,4,-41.14651955,32,ground_ball
OUT,91.3,3,-26.02378455,76,ground_ball
OUT,106.5,-2,-9.003544595,43,ground_ball
OUT,93,61,34.65131591,223,fly_ball
SINGLE,97.6,-2,9.57927256,37,ground_ball
OUT,91.4,43,-5.608233079,329,fly_ball
OUT,106.4,-19,-8.736096083,6,ground_ball
OUT,81.8,53,-28.78889056,256,fly_ball
OUT,70.7,3,29.73243681,57,ground_ball
OUT,57.4,49,11.05941509,168,popup
OUT,82.5,49,23.82084848,278,fly_ball
OUT,95.7,26,0.2906449,372,fly_ball
OUT,89.5,47,43.75779112,310,fly_ball
OUT,66.7,50,-50.38951214,191,popup
OUT,76.9,52,-25.6536043,224,fly_ball
OUT,65.4,59,35.83679454,154,popup
OUT,77.3,11,23.99589991,134,ground_ball
OUT,105.9,0,-27.68155131,49,ground_ball
SINGLE,94.9,8,2.53068991,174,line_drive
OUT,100.8,28,21.77473168,388,fly_ball
OUT,89.6,-3,-13.00815528,27,ground_ball
OUT,80,33,-4.15211946,291,fly_ball
OUT,65,-58,-2.282319523,2,ground_ball
SINGLE,76.9,7,9.177616962,87,ground_ball
OUT,101.7,48,-27.11304493,322,fly_ball
OUT,88.4,61,14.83159797,196,popup
OUT,73.4,63,32.3533908,145,popup
SINGLE,88.7,12,21.64277211,192,line_drive
SINGLE,65.9,34,-17.97841841,217,fly_ball
OUT,95.9,45,-2.434373192,308,fly_ball
OUT,99.8,49,-1.126723258,288,fly_ball
OUT,89.8,45,-16.87842562,279,fly_ball
OUT,69.7,-20,-27.27139184,6,ground_ball
OUT,72.5,-22,-6.686216989,6,ground_ball
OUT,94.4,62,-43.11986891,213,popup
SINGLE,103,13,-25.12908793,282,line_drive
OUT,69.4,-13,40.58419951,7,ground_ball
SINGLE,75.2,11,46.66578273,142,ground_ball
SINGLE,104.9,9,-2.63061866,231,line_drive
OUT,94.7,47,32.17237977,299,fly_ball
OUT,85.1,82,85.3099295,64,popup
OUT,89.2,25,23.34467469,311,line_drive
SINGLE,105.1,1,-8.558821125,81,ground_ball
OUT,100.6,-10,-3.851049023,12,ground_ball
OUT,78.7,3,-12.73994698,76,ground_ball
HR,107.1,38,18.88318094,425,fly_ball
OUT,97.3,17,-30.69892202,287,line_drive
OUT,92,66,-29.15470439,168,popup
OUT,81,-42,-36.31780388,2,ground_ball
OUT,77.6,39,-14.38977006,266,fly_ball
OUT,96,44,26.2407036,306,fly_ball
OUT,51.1,-10,0.582490906,12,ground_ball
OUT,90.8,-15,39.03325673,5,ground_ball
OUT,86,25,-16.44447007,318,line_drive
OUT,93.1,29,-29.4296504,335,fly_ball
SINGLE,91,15,1.067238081,263,line_drive
OUT,97.3,31,0.734181442,375,fly_ball
SINGLE,56,-51,-21.50314322,1,ground_ball
HR,103.1,30,-22.65089748,405,fly_ball
OUT,71,72,-72.95813722,98,popup
SINGLE,64.3,26,-46.91926349,150,line_drive
OUT,94.5,20,24.24534851,325,line_drive
OUT,95.5,58,-16.7956181,238,fly_ball
SINGLE,97.4,14,23.76280184,252,line_drive
OUT,87.2,25,2.958977438,315,line_drive
OUT,92.3,20,-14.88861513,292,line_drive
SINGLE,92.7,5,-3.468912399,106,ground_ball
SINGLE,68.3,41,1.120507155,215,fly_ball
SINGLE,84.3,18,-27.2634127,255,line_drive
OUT,74.1,88,-11.04834435,58,popup
OUT,77.5,40,14.14650344,257,fly_ball
OUT,73.5,48,-46.546914,221,fly_ball
OUT,59.6,-75,-16.7939088,0,ground_ball
OUT,87.7,61,39.87790153,192,popup
OUT,94.8,-23,27.55721955,4,ground_ball
OUT,88.1,82,-64.0112657,49,popup
OUT,85.1,24,-20.97081353,315,line_drive
OUT,74.6,-12,6.778416088,10,ground_ball
OUT,93.6,45,-12.18277197,306,fly_ball
OUT,90.2,3,-14.11884337,66,ground_ball
DOUBLE,99.6,19,16.18344531,303,line_drive
SINGLE,81.2,28,-13.84438245,286,line_drive
HR,98.6,26,25.36570111,371,fly_ball
OUT,86.4,-36,-23.47939658,2,ground_ball
OUT,89.5,32,-31.56944441,311,fly_ball
OUT,85.3,69,-39.97917143,152,popup
OUT,93.9,48,-17.82560845,291,fly_ball
HR,106,23,44.05567779,365,fly_ball
SINGLE,77.2,25,3.238241713,253,line_drive
SINGLE,99.6,8,-35.15241528,169,line_drive
OUT,96.2,51,-41.16013927,281,fly_ball
OUT,83.3,-27,-23.80434688,7,ground_ball
DOUBLE,92.6,26,46.20271257,337,fly_ball
OUT,100.8,1,-9.906360187,64,ground_ball
OUT,58.6,69,33.25788184,81,popup
