result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,is_theoretical_fair
OUT,77.3,26,-30.131006038682788,234.0,line_drive,1
OUT,90.7,28,-5.039013291846232,329.0,fly_ball,1
OUT,63.7,57,53.176318340794,144.0,popup,0
OUT,89.0,26,22.58200172313617,327.0,fly_ball,1
DOUBLE,101.2,9,-9.062431838396288,202.0,line_drive,1
DOUBLE,101.0,21,-46.73660360009246,337.0,line_drive,0
HR,105.3,28,4.544785003086905,424.0,fly_ball,1
SINGLE,82.8,23,36.25564549843763,254.0,line_drive,1
OUT,102.9,2,6.502425704542123,60.0,ground_ball,1
OUT,91.7,-4,19.50597209689572,24.0,ground_ball,1
OUT,89.4,39,-37.01347943313902,306.0,fly_ball,1
SINGLE,68.7,10,51.34659093498188,110.0,ground_ball,0
HR,97.9,36,34.45351588523732,368.0,fly_ball,1
SINGLE,106.6,11,9.609102985704013,276.0,line_drive,1
OUT,81.0,69,57.71588412964322,133.0,popup,0
OUT,83.7,54,22.99286148930596,215.0,fly_ball,1
OUT,74.5,39,-15.90203182673102,251.0,fly_ball,1
DOUBLE,107.4,18,-22.453777488531937,324.0,line_drive,1
OUT,98.3,28,14.836566873470924,372.0,fly_ball,1
OUT,82.4,78,51.53126188970427,43.0,popup,0
DOUBLE,106.0,4,-42.89311537642831,100.0,ground_ball,1
OUT,52.9,-59,-10.56780066977554,2.0,ground_ball,1
OUT,93.6,-24,-10.875356017182671,5.0,ground_ball,1
DOUBLE,79.9,25,-43.491022820094194,246.0,line_drive,1
OUT,82.9,76,39.15514847352612,61.0,popup,1
DOUBLE,107.6,19,-22.463368064396867,350.0,line_drive,1
SINGLE,89.7,-6,-27.291504461096626,22.0,ground_ball,1
DOUBLE,89.7,-8,-46.02458225584967,12.0,ground_ball,0
SINGLE,83.2,4,24.56440412151564,93.0,ground_ball,1
OUT,89.8,-15,42.02530484118722,8.0,ground_ball,1
SINGLE,96.7,11,-3.588409545556377,213.0,line_drive,1
OUT,90.6,2,-40.85266053309397,59.0,ground_ball,1
DOUBLE,95.6,32,-36.42158428513538,348.0,fly_ball,1
OUT,49.5,-72,9.78240703180745,1.0,ground_ball,1
SINGLE,64.8,-39,18.655033961392068,2.0,ground_ball,1
OUT,58.6,-39,-30.628697313464397,4.0,ground_ball,1
